player,receiving_rec,receiving_tgt,receiving_yds,receiving_y/r,receiving_lg,receiving_20+,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,games_played,fantasy_points,fantasy_points_per_game,percent_rostered
James Mitchell (DET),2,2,28,14.0,24,1,0,0,0,0,0,14,2.8,0.2,0.1
Kenny Yeboah (NYJ),2,4,28,14.0,20,1,0,0,0,0,0,5,2.8,0.6,0.0
Greg Dulcich (DEN),3,4,25,8.3,13,0,0,0,0,0,0,2,2.5,1.3,3.9
Nate Adkins (DEN),4,5,22,5.5,11,0,0,0,0,0,0,10,2.2,0.2,0.0
Nick Muse (MIN),1,1,22,22.0,22,1,0,0,0,0,0,1,2.2,2.2,0.0
Trevon Wesco (FA),1,3,21,21.0,21,1,0,0,0,0,0,15,2.1,0.1,0.0
Chris Manhertz (NYG),2,4,16,8.0,10,0,0,0,0,0,0,16,1.6,0.1,0.0
Eric Saubert (SF),3,3,12,4.0,5,0,0,0,0,0,0,8,1.2,0.2,0.0
Ross Dwelley (ATL),1,2,12,12.0,12,0,0,0,0,0,0,12,1.2,0.1,0.0
John FitzPatrick (ATL),1,1,12,12.0,12,0,0,0,0,0,0,7,1.2,0.2,0.0
Tucker Fisk (FA),1,1,9,9.0,9,0,0,0,0,0,0,6,0.9,0.2,0.1
Cole Fotheringham (LV),1,1,6,6.0,6,0,0,0,0,0,0,2,0.6,0.3,0.0
Kevin Rader (FA),1,3,6,6.0,6,0,0,0,0,0,0,14,0.6,0.0,0.0
Jesper Horsted (NO),1,1,4,4.0,4,0,0,0,0,0,0,5,0.4,0.1,0.0
Nick Vannett (TEN),1,1,3,3.0,3,0,0,0,0,0,0,8,0.3,0.0,0.0
Giovanni Ricci (CLE),1,1,2,2.0,2,0,0,0,0,0,0,6,0.2,0.0,0.0
Matt Sokol (FA),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0
Matt Orzech (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Parker Hesse (DET),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0
Mitchell Fraboni (DEN),0,0,0,0.0,0,0,0,0,0,0,0,6,0.0,0.0,0.0
Tommy Sweeney (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tyree Jackson (NYG),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0
Zach Gentry (LV),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Stephen Carlson (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jody Fortson Jr. (MIA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Dalton Keene (HOU),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0
Noah Togiai (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Lawrence Cager (NYG),4,5,36,9.0,10,0,1,0,0,0,0,9,0.0,0.0,0.0
Tyler Mabry (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Sean McKeon (DET),0,2,0,0.0,0,0,0,0,0,0,0,9,0.0,0.0,0.0
Tyler Davis (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Scotty Washington (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tommy Hudson (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Cade Stover (HOU),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4
Zack Kuntz (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0
Brayden Willis (SF),0,0,0,0.0,0,0,0,0,0,0,0,7,0.0,0.0,0.0
Derek Parish (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.3
Joel Wilson (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Blake Whiteheart (ARI),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Henry Pearson (GB),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0
Patrick Murtagh (JAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Brady Russell (SEA),0,0,0,0.0,0,0,0,0,0,0,0,10,0.0,0.0,0.0
E.J. Jenkins (PHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Travis Vokolek (ARI),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0
Thomas Odukoya (TEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tanner Taula (TB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Rodney Williams (PIT),0,2,0,0.0,0,0,0,0,0,0,0,13,0.0,0.0,0.0
Chris Pierce Jr. (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Leroy Watson IV (TEN),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0
Dallin Holker (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jaheim Bell (NE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1
Kehinde Oginni Hassan (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jake Tonges (SF),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Zaire Mitchell-Paden (CLE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Alec Holler (DAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tip Reiman (ARI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1
Jacob Warren (NE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jack Westover (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Brenden Bates (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Messiah Swinson (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Devin Culp (TB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Luke Benson (LAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Colson Yankoff (WAS),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Steven Stilianos (TEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Treyton Welch (CLE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Mason Pline (SF),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Thomas Yassmin (DEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Neal Johnson (LAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Trent Pennix (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Kevin Foelsch (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Shawn Bowman (JAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Lincoln Sefcik (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Mike Rigerman (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Riley Sharp (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
David Martin-Robinson (TEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Cam Grandy (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
John Samuel Shenker (LV),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jordan Murray (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Princeton Fant (DAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
John Stephens Jr. (DAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Izaiah Gathings (KC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Brevyn Spann-Ford (DAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Zach Heins (LAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
McCallan Castles (PHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tanner McLachlan (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jared Wiley (KC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3
AJ Barner (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1
Ben Sinnott (WAS),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,5.3
La'Michael Pettway (NE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Matt Bushman (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Trey Knox (MIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Brock Bowers (LV),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,84.0
Austin Stogner (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Theo Johnson (NYG),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7
Baylor Cupp (KC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Miller Forristall (LAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tre' McKitty (BUF),0,0,0,0.0,0,0,0,0,0,0,0,6,0.0,0.0,0.0
Hunter Long (LAR),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.1
Albert Okwuegbunam Jr. (PHI),0,1,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.1
Sammis Reyes (MIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Cameron Latu (SF),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1
Erick All Jr. (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3
Nikola Kalinic (LAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tanner Conner (MIA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0
Armani Rogers (WAS),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ja'Tavion Sanders (CAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
Jelani Woods (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.2
Jacob Harris (PHI),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0
Josh Pederson (JAC),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0
Ben Mason (LAC),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Hunter Kampmoyer (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Zach Davidson (BUF),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Bernhard Seikovits (ARI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Michael Jacobson (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Shane Zylstra (DET),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Dominique Curry (DET),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Drake Dunsmore (TB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jordan Matthews (CAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Derek Fine (HOU),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
J.P. Foschi (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Darnell Dinkins (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Brad Cottam (KC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Joey Haynos (MIA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
James Dearth (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Marquez Branson (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Keith Zinger (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Justin Snow (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
N'Keal Harry (MIN),0,0,0,0.0,0,0,0,0,0,0,0,8,0.0,0.0,0.1
Anthony Firkser (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Darrell Daniels (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0
J.P. Holtz (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Zach Wood (NO),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0
Jordan Thomas (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Tyler Kroft (FA),0,0,0,0.0,0,0,0,0,0,0,0,6,0.0,0.0,0.0
Patrick Scales (CHI),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
James Winchester (KC),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Tyler Ott (WAS),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0
Stephen Anderson (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0
Andrew DePaola (MIN),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0
Eric Tomlinson (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Hayden Rucci (MIA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
David Wells (TB),2,2,-10,-5.0,1,0,0,0,0,0,0,5,-1.0,-0.2,0.0
